value,label
Abilene Chr,abilene chr
Air Force,air force
Akron,akron
Alabama,alabama
Alabama A&M,alabama a&m
Alabama St,alabama st
Alcorn St,alcorn st
American Univ,american univ
Appalachian St,appalachian st
Arizona,arizona
Arizona St,arizona st
Ark Little Rock,ark little rock
Ark Pine Bluff,ark pine bluff
Arkansas,arkansas
Arkansas St,arkansas st
Army,army
Auburn,auburn
Austin Peay,austin peay
Ball St,ball st
Baylor,baylor
Bellarmine,bellarmine
Belmont,belmont
Bethune-Cookman,bethune-cookman
Binghamton,binghamton
Boise St,boise st
Boston College,boston college
Boston Univ,boston univ
Bowling Green,bowling green
Bradley,bradley
Brown,brown
Bryant,bryant
Bucknell,bucknell
Buffalo,buffalo
Butler,butler
BYU,byu
C Michigan,c michigan
Cal Baptist,cal baptist
Cal Poly,cal poly
California,california
Campbell,campbell
Canisius,canisius
Cent Arkansas,cent arkansas
Central Conn,central conn
Charleston So,charleston so
Charlotte,charlotte
Chattanooga,chattanooga
Chicago St,chicago st
Cincinnati,cincinnati
Citadel,citadel
Clemson,clemson
Cleveland St,cleveland st
Coastal Car,coastal car
Col Charleston,col charleston
Colgate,colgate
Colorado,colorado
Colorado St,colorado st
Columbia,columbia
Connecticut,connecticut
Coppin St,coppin st
Cornell,cornell
Creighton,creighton
CS Bakersfield,cs bakersfield
CS Fullerton,cs fullerton
CS Northridge,cs northridge
CS Sacramento,cs sacramento
Dartmouth,dartmouth
Davidson,davidson
Dayton,dayton
Delaware,delaware
Delaware St,delaware st
Denver,denver
DePaul,depaul
Detroit,detroit
Drake,drake
Drexel,drexel
Duke,duke
Duquesne,duquesne
E Illinois,e illinois
E Kentucky,e kentucky
E Michigan,e michigan
E Washington,e washington
East Carolina,east carolina
East Texas A&M,east texas a&m
Elon,elon
ETSU,etsu
Evansville,evansville
F Dickinson,f dickinson
Fairfield,fairfield
FGCU,fgcu
FL Atlantic,fl atlantic
Florida,florida
Florida A&M,florida a&m
Florida Intl,florida intl
Florida St,florida st
Fordham,fordham
Fresno St,fresno st
Furman,furman
G Washington,g washington
Ga Southern,ga southern
Gardner Webb,gardner webb
George Mason,george mason
Georgetown,georgetown
Georgia,georgia
Georgia St,georgia st
Georgia Tech,georgia tech
Gonzaga,gonzaga
Grambling,grambling
Grand Canyon,grand canyon
Hampton,hampton
Harvard,harvard
Hawaii,hawaii
High Point,high point
Hofstra,hofstra
Holy Cross,holy cross
Houston,houston
Houston Chr,houston chr
Howard,howard
Idaho,idaho
Idaho St,idaho st
IL Chicago,il chicago
Illinois,illinois
Illinois St,illinois st
Incarnate Word,incarnate word
Indiana,indiana
Indiana St,indiana st
Iona,iona
Iowa,iowa
Iowa St,iowa st
IUPUI,iupui
Jackson St,jackson st
Jacksonville,jacksonville
Jacksonville St,jacksonville st
James Madison,james madison
Kansas,kansas
Kansas St,kansas st
Kennesaw,kennesaw
Kent,kent
Kentucky,kentucky
La Salle,la salle
Lafayette,lafayette
Lamar,lamar
Le Moyne,le moyne
Lehigh,lehigh
Liberty,liberty
Lindenwood,lindenwood
Lipscomb,lipscomb
LIU Brooklyn,liu brooklyn
Long Beach St,long beach st
Longwood,longwood
Louisiana,louisiana
Louisiana Tech,louisiana tech
Louisville,louisville
Loy Marymount,loy marymount
Loyola MD,loyola md
Loyola-Chicago,loyola-chicago
LSU,lsu
MA Lowell,ma lowell
Maine,maine
Manhattan,manhattan
Marist,marist
Marquette,marquette
Marshall,marshall
Maryland,maryland
Massachusetts,massachusetts
McNeese St,mcneese st
MD E Shore,md e shore
Memphis,memphis
Mercer,mercer
Mercyhurst,mercyhurst
Merrimack,merrimack
Miami FL,miami fl
Miami OH,miami oh
Michigan,michigan
Michigan St,michigan st
Minnesota,minnesota
Mississippi,mississippi
Mississippi St,mississippi st
Missouri,missouri
Missouri KC,missouri kc
Missouri St,missouri st
Monmouth NJ,monmouth nj
Montana,montana
Montana St,montana st
Morehead St,morehead st
Morgan St,morgan st
MS Valley St,ms valley st
Mt St Mary's,mt st mary's
MTSU,mtsu
Murray St,murray st
N Colorado,n colorado
N Dakota St,n dakota st
N Illinois,n illinois
N Kentucky,n kentucky
Navy,navy
NC A&T,nc a&t
NC Central,nc central
NC State,nc state
NE Omaha,ne omaha
Nebraska,nebraska
Nevada,nevada
New Hampshire,new hampshire
New Mexico,new mexico
New Mexico St,new mexico st
New Orleans,new orleans
Niagara,niagara
Nicholls St,nicholls st
NJIT,njit
Norfolk St,norfolk st
North Alabama,north alabama
North Carolina,north carolina
North Dakota,north dakota
North Florida,north florida
North Texas,north texas
Northeastern,northeastern
Northern Arizona,northern arizona
Northern Iowa,northern iowa
Northwestern,northwestern
Northwestern LA,northwestern la
Notre Dame,notre dame
Oakland,oakland
Ohio,ohio
Ohio St,ohio st
Oklahoma,oklahoma
Oklahoma St,oklahoma st
Old Dominion,old dominion
Oral Roberts,oral roberts
Oregon,oregon
Oregon St,oregon st
Pacific,pacific
Penn,penn
Penn St,penn st
Pepperdine,pepperdine
PFW,pfw
Pittsburgh,pittsburgh
Portland,portland
Portland St,portland st
Prairie View,prairie view
Presbyterian,presbyterian
Princeton,princeton
Providence,providence
Purdue,purdue
Queens NC,queens nc
Quinnipiac,quinnipiac
Radford,radford
Rhode Island,rhode island
Rice,rice
Richmond,richmond
Rider,rider
Robert Morris,robert morris
Rutgers,rutgers
S Carolina St,s carolina st
S Dakota St,s dakota st
S Illinois,s illinois
Sacred Heart,sacred heart
Sam Houston St,sam houston st
Samford,samford
San Diego,san diego
San Diego St,san diego st
San Francisco,san francisco
San Jose St,san jose st
Santa Clara,santa clara
SC Upstate,sc upstate
SE Louisiana,se louisiana
SE Missouri St,se missouri st
Seattle,seattle
Seton Hall,seton hall
SF Austin,sf austin
Siena,siena
SIUE,siue
SMU,smu
South Alabama,south alabama
South Carolina,south carolina
South Dakota,south dakota
South Florida,south florida
Southern Indiana,southern indiana
Southern Miss,southern miss
Southern Univ,southern univ
Southern Utah,southern utah
St Bonaventure,st bonaventure
St Francis PA,st francis pa
St John's,st john's
St Joseph's PA,st joseph's pa
St Louis,st louis
St Mary's CA,st mary's ca
St Peter's,st peter's
St Thomas MN,st thomas mn
Stanford,stanford
Stetson,stetson
Stonehill,stonehill
Stony Brook,stony brook
SUNY Albany,suny albany
Syracuse,syracuse
TAM C. Christi,tam c. christi
Tarleton St,tarleton st
TCU,tcu
Temple,temple
Tennessee,tennessee
Tennessee St,tennessee st
Tennessee Tech,tennessee tech
Texas,texas
Texas A&M,texas a&m
Texas St,texas st
Texas Tech,texas tech
TN Martin,tn martin
Toledo,toledo
Towson,towson
Troy,troy
Tulane,tulane
Tulsa,tulsa
TX Southern,tx southern
UAB,uab
UC Davis,uc davis
UC Irvine,uc irvine
UC Riverside,uc riverside
UC San Diego,uc san diego
UC Santa Barbara,uc santa barbara
UCF,ucf
UCLA,ucla
ULM,ulm
UMBC,umbc
UNC Asheville,unc asheville
UNC Greensboro,unc greensboro
UNC Wilmington,unc wilmington
UNLV,unlv
USC,usc
UT Arlington,ut arlington
UT San Antonio,ut san antonio
Utah,utah
Utah St,utah st
Utah Tech,utah tech
Utah Valley,utah valley
UTEP,utep
UTRGV,utrgv
Valparaiso,valparaiso
Vanderbilt,vanderbilt
VCU,vcu
Vermont,vermont
Villanova,villanova
Virginia,virginia
Virginia Tech,virginia tech
VMI,vmi
W Carolina,w carolina
W Illinois,w illinois
W Michigan,w michigan
Wagner,wagner
Wake Forest,wake forest
Washington,washington
Washington St,washington st
Weber St,weber st
West Georgia,west georgia
West Virginia,west virginia
WI Green Bay,wi green bay
WI Milwaukee,wi milwaukee
Wichita St,wichita st
William & Mary,william & mary
Winthrop,winthrop
Wisconsin,wisconsin
WKU,wku
Wofford,wofford
Wright St,wright st
Wyoming,wyoming
Xavier,xavier
Yale,yale
Youngstown St,youngstown st